title,Fdc1 @ 350 K,,,,,,,
plot_type,multi-line,,,,,,,
x_label,Time (ns),,,,,,,
y_label,Secondary structure (%),,,,,,,
x_unit,ns,,,,,,,
y_unit,%,,,,,,,
color,#000000,#FD5200,#0000FF,#FF8000,#68D2FB,#000080,#009F00,#800080
label,None,Parallel Beta-sheet,Anti Beta-sheet,3-10 helix,Alpha helix,Pi(3-14) helix,Turn,Bend
axis_x,axis_y,axis_y,axis_y,axis_y,axis_y,axis_y,axis_y,axis_y
0.508,0.23274,0.06016,0.13905,0.03254,0.21499,0,0.15878,0.16568
0.51,0.23471,0.06114,0.143,0.03748,0.21795,0.00493,0.14793,0.1568
0.512,0.25049,0.06607,0.12821,0.02959,0.2288,0.00493,0.14892,0.14694
0.514,0.24359,0.0641,0.13708,0.03649,0.20513,0.00592,0.15779,0.15385
0.516,0.23669,0.06114,0.14103,0.03846,0.23077,0,0.14103,0.15483
0.518,0.23964,0.0641,0.13116,0.03452,0.21598,0,0.15779,0.16075
0.52,0.23373,0.06903,0.14004,0.03846,0.21696,0,0.14892,0.1568
0.522,0.24655,0.06312,0.13314,0.03846,0.21203,0,0.1716,0.13905
0.524,0.24359,0.0641,0.13314,0.02959,0.21499,0,0.16272,0.15582
0.526,0.23866,0.06114,0.12919,0.03156,0.21499,0,0.16667,0.16174
0.528,0.24458,0.0641,0.13511,0.02071,0.22387,0.00493,0.15385,0.1568
0.53,0.25247,0.05621,0.13511,0.0286,0.21992,0.00493,0.1568,0.1499
0.532,0.2426,0.05819,0.13412,0.0217,0.2288,0,0.15385,0.16469
0.534,0.24655,0.0641,0.12821,0.03846,0.2357,0,0.13708,0.15385
0.536,0.24556,0.06213,0.13314,0.0355,0.22091,0.00493,0.14596,0.15582
0.538,0.24063,0.0641,0.12623,0.03846,0.214,0,0.16174,0.15878
0.54,0.23866,0.0641,0.13511,0.03156,0.21992,0.00493,0.1568,0.15286
0.542,0.24655,0.05917,0.13511,0.04339,0.2288,0.00493,0.13708,0.14892
0.544,0.24162,0.05917,0.13807,0.03156,0.21006,0,0.16864,0.15483
0.546,0.25838,0.05819,0.12919,0.02367,0.21499,0.00493,0.15187,0.16272
0.548,0.24063,0.05227,0.13708,0.02959,0.214,0,0.16371,0.16667
0.55,0.24655,0.05819,0.14004,0.0355,0.21992,0.00493,0.1499,0.14892
0.552,0.23471,0.06114,0.13609,0.04043,0.22485,0,0.14497,0.16174
0.554,0.24458,0.05917,0.13905,0.01183,0.21795,0.00493,0.16864,0.15779
0.556,0.24951,0.06607,0.12919,0.01874,0.21499,0.00493,0.16174,0.15878
0.558,0.23077,0.06016,0.14201,0.03945,0.20217,0.00493,0.16272,0.16174
0.56,0.25049,0.0572,0.13511,0.04142,0.20809,0.00493,0.15385,0.15286
0.562,0.2426,0.06213,0.13314,0.03945,0.20513,0.00493,0.15187,0.16469
0.564,0.26134,0.05424,0.13018,0.02761,0.21893,0.00493,0.16469,0.14201
0.566,0.24852,0.05917,0.13412,0.03353,0.21203,0.00493,0.1716,0.14004
0.568,0.24359,0.05917,0.13708,0.03452,0.19822,0,0.1716,0.15976
0.57,0.24556,0.05819,0.13511,0.02465,0.22584,0,0.15187,0.16272
0.572,0.24753,0.06016,0.14004,0.03452,0.20907,0,0.15779,0.15483
0.574,0.24852,0.05917,0.13708,0.03846,0.22288,0.00493,0.14398,0.14892
0.576,0.2357,0.06312,0.14201,0.0355,0.21006,0,0.16568,0.15187
0.578,0.24063,0.06509,0.13412,0.02663,0.21696,0.00493,0.15286,0.16272
0.58,0.24162,0.06607,0.12722,0.03057,0.22781,0,0.15385,0.1568
0.582,0.23767,0.0641,0.13609,0.0355,0.21006,0.00493,0.16272,0.15286
0.584,0.24655,0.06509,0.13511,0.04339,0.22387,0,0.143,0.14694
0.586,0.24655,0.06607,0.13215,0.0355,0.21696,0,0.16272,0.14398
0.588,0.25641,0.0641,0.12426,0.03156,0.21696,0,0.16174,0.14892
0.59,0.24556,0.06213,0.13116,0.04241,0.21598,0,0.14793,0.15878
0.592,0.23866,0.0641,0.13215,0.0355,0.21795,0.00493,0.14694,0.16371
0.594,0.24556,0.05917,0.13412,0.04142,0.22387,0.00493,0.14892,0.14596
