# m/z,Intensity
816.3000,1.1874
816.4000,0.0074
816.5000,1.0000
816.6000,0.1758
816.7000,0.2354
816.9000,1.8800
817.0000,0.5313
817.1000,1.7562
817.3000,2.1126
817.5000,0.4684
817.6000,0.0547
817.8000,0.4419
817.9000,0.1916
818.0000,1.0000
818.1000,0.0292
818.5000,1.3958
818.8000,0.0750
818.9000,0.7646
819.0000,0.8021
819.1000,0.2242
819.2000,1.7032
819.3000,0.0719
819.4000,0.5083
819.5000,1.8421
819.6000,1.0000
819.7000,0.2253
819.8000,1.0000
819.9000,1.8695
820.0000,0.9526
820.1000,1.0458
820.2000,0.9063
820.3000,0.3305
820.4000,0.2387
820.5000,2.1927
820.6000,1.6229
820.7000,1.8938
820.8000,2.5500
820.9000,0.0865
821.0000,0.6563
821.1000,1.7740
821.2000,0.2157
821.3000,0.6500
821.4000,1.0000
821.5000,2.0000
821.6000,2.0000
821.7000,1.5411
821.8000,2.4656
821.9000,0.7375
822.0000,1.3854
822.1000,0.1385
822.2000,1.1583
822.3000,2.9716
822.4000,1.0000
822.5000,3.0000
822.6000,3.3312
822.7000,0.4563
822.9000,1.3435
823.0000,1.0000
823.1000,0.9095
823.2000,0.9906
823.3000,1.1375
823.4000,2.0000
823.5000,2.3542
823.6000,2.2365
823.7000,1.2157
823.8000,3.3208
823.9000,1.1115
824.1000,3.9969
824.2000,0.4542
824.3000,0.9042
824.4000,0.3458
824.5000,0.3979
824.6000,2.4938
824.7000,0.5917
824.8000,3.0000
824.9000,4.8187
825.0000,3.0573
825.1000,3.4589
825.2000,3.0302
825.3000,2.6921
825.4000,0.8771
825.5000,2.3229
825.6000,5.1583
825.7000,2.5021
825.8000,4.0000
825.9000,3.8177
826.0000,4.6146
826.1000,12.2688
826.2000,8.9146
826.3000,10.9875
826.4000,7.5448
826.5000,10.5000
826.6000,3.8656
826.7000,7.3583
826.8000,9.6990
826.9000,12.8984
827.0000,11.3958
827.1000,18.7844
827.2000,54.3250
827.3000,66.4958
827.4000,28.1958
827.5000,26.7577
827.6000,19.9058
827.7000,10.3396
827.8000,11.2563
827.9000,15.0937
828.0000,22.3125
828.1000,98.9125
828.2000,316.9781
828.3000,676.1833
828.4000,618.9665
828.5000,300.0312
828.6000,117.4000
828.7000,38.6969
828.8000,19.3208
828.9000,42.5448
829.0000,43.5625
829.1000,45.3822
829.2000,36.6094
829.3000,15.6250
829.4000,10.0000
829.5000,12.8750
829.6000,11.0000
829.7000,16.9333
829.8000,10.8365
829.9000,7.0000
830.0000,8.7423
830.1000,2.1531
830.2000,3.6583
830.3000,3.1885
830.4000,3.4167
830.5000,4.4688
830.6000,6.0083
830.7000,3.5319
830.8000,3.0000
830.9000,3.7000
831.0000,3.0000
831.1000,3.6646
831.2000,2.0000
831.3000,2.9187
831.4000,1.1225
831.5000,1.3866
831.6000,0.2021
831.7000,5.2469
831.8000,3.8474
831.9000,2.5594
832.0000,3.8969
832.1000,5.1679
832.2000,5.0000
832.3000,3.4250
832.4000,2.0000
832.5000,4.0206
832.6000,5.0000
832.7000,3.4854
832.8000,3.0438
832.9000,2.9042
833.0000,2.9381
833.1000,4.6156
833.2000,9.7732
833.3000,4.4526
833.4000,5.0000
833.5000,4.7865
833.6000,2.9508
833.7000,1.6688
833.8000,3.8113
833.9000,4.0000
834.0000,7.7708
834.1000,5.3062
834.2000,2.9385
834.3000,4.3181
834.4000,5.0000
834.5000,2.6719
834.6000,9.6750
834.7000,6.0000
834.8000,2.1438
834.9000,7.2969
835.0000,16.9634
835.1000,21.3333
835.2000,16.0906
835.3000,10.6896
835.4000,6.9052
835.5000,3.4845
835.6000,4.0000
835.7000,5.0145
835.8000,2.9711
835.9000,4.0000
836.0000,3.0000
836.1000,3.2258
836.2000,2.0000
836.3000,1.0000
