title,p27 - MD results,,,
plot_type,grid-line,,,
x_label,Time (ns),,,
color,#000000,#FD5200,#0000FF,#FF8000
label,Radius of Gyration,Surface Area,PA,EHSS
y_labels,Rg (AA),SASA (A^2),CCS (A^2),CCS (A^2)
label_unit,A,A2,A2,A2
axis_x,axis_y,axis_y,axis_y,axis_y
0.87,31.5248,24581.44,4700.44,6188.89
0.872,31.5116,24608.5201,4693.25,6174.46
0.874,31.5295,24198.6844,4703.9,6190.05
0.876,31.4886,24552.9546,4698.22,6185.02
0.878,31.5007,24505.8095,4688.18,6175.75
0.88,31.537,24617.5685,4706.25,6199.37
0.882,31.5464,24673.1204,4697.62,6181.51
0.884,31.4999,24118.5471,4696.52,6182.72
0.886,31.583,24053.7326,4702.19,6191.76
0.888,31.5749,24389.4668,4701.86,6187.28
0.89,31.6173,24772.1203,4714.33,6204.19
0.892,31.5151,24724.9882,4701.44,6192.24
0.894,31.4862,24833.0974,4702.6,6188.65
0.896,31.5458,24661.6175,4696.94,6182.26
0.898,31.5944,24892.6901,4704.86,6193.64
0.9,31.5575,24539.8791,4694.98,6177.93
0.902,31.5392,24931.7123,4710.86,6200.86
0.904,31.5545,25354.5418,4716.68,6218.76
0.906,31.5979,24723.1308,4703.88,6185.4
0.908,31.5688,24562.2389,4701.89,6192.52
0.91,31.5054,24857.8386,4703.32,6197.65
0.912,31.5989,24795.1748,4710.24,6200.29
0.914,31.6289,25272.9718,4721.21,6214.23
0.916,31.5966,25425.675,4713.4,6203.09
0.918,31.592,24883.2315,4714.14,6201.67
0.92,31.5485,24343.2949,4698.15,6189.75
0.922,31.4934,25173.5722,4706.84,6199.86
0.924,31.4763,24465.5269,4699.82,6183.92
0.926,31.5168,24832.2525,4687.46,6168.67
0.928,31.6085,24738.9105,4693.09,6174.1
0.93,31.572,24504.0305,4704.79,6192.5
0.932,31.6166,25113.4964,4715.48,6208.14
0.934,31.5765,24849.3206,4705.53,6201.05
0.936,31.4702,24149.1619,4684.26,6162.96
0.938,31.4139,24443.5715,4689.45,6174.43
0.94,31.4873,24942.2618,4696.81,6180.81
0.942,31.4331,24710.2705,4689.17,6173.45
0.944,31.4759,24902.0594,4697.13,6182.56
0.946,31.5316,24997.4785,4705.36,6190.49
0.948,31.5641,24661.9479,4708.95,6193.74
